NOMBRE|DELIVERY_TYPE|PRICE_TYPE|PRODUCTO DE ENVÍO|MATRICULA|PRECIOS
ZONA 2-MEDELLÍN TRANSVERSAL INFERIOR Y SUPERIOR-ENVIGAGO-ITAGUI-SABANETA-LA ESTRELLA-SAN ANTONIO DE PRADO-LAS PALMAS|fixed|multiple_prices|ACAR-001|NISSAN/NISSAN/KAZ161|44000
ZONA 2-MEDELLÍN TRANSVERSAL INFERIOR Y SUPERIOR-ENVIGAGO-ITAGUI-SABANETA-LA ESTRELLA-SAN ANTONIO DE PRADO-LAS PALMAS|fixed|multiple_prices|ACAR-001|K3000S-KIA/TMI448|55000
ZONA 2-MEDELLÍN TRANSVERSAL INFERIOR Y SUPERIOR-ENVIGAGO-ITAGUI-SABANETA-LA ESTRELLA-SAN ANTONIO DE PRADO-LAS PALMAS|fixed|multiple_prices|ACAR-001|K3000S-KIA/TMI436|55000
ZONA 2-MEDELLÍN TRANSVERSAL INFERIOR Y SUPERIOR-ENVIGAGO-ITAGUI-SABANETA-LA ESTRELLA-SAN ANTONIO DE PRADO-LAS PALMAS|fixed|multiple_prices|ACAR-001|DELTA V126L-HUT/DAIHATSU/TRF639|72000
ZONA 2-MEDELLÍN TRANSVERSAL INFERIOR Y SUPERIOR-ENVIGAGO-ITAGUI-SABANETA-LA ESTRELLA-SAN ANTONIO DE PRADO-LAS PALMAS|fixed|multiple_prices|ACAR-001|HD72/HYUNDAI/MNE317|88000
ZONA 2-MEDELLÍN TRANSVERSAL INFERIOR Y SUPERIOR-ENVIGAGO-ITAGUI-SABANETA-LA ESTRELLA-SAN ANTONIO DE PRADO-LAS PALMAS|fixed|multiple_prices|ACAR-001|HD72/HYUNDAI/MNE620|88000
ZONA 2-MEDELLÍN TRANSVERSAL INFERIOR Y SUPERIOR-ENVIGAGO-ITAGUI-SABANETA-LA ESTRELLA-SAN ANTONIO DE PRADO-LAS PALMAS|fixed|multiple_prices|ACAR-001|NPR/CHEVROLET/TMX272|88000
ZONA 2-MEDELLÍN TRANSVERSAL INFERIOR Y SUPERIOR-ENVIGAGO-ITAGUI-SABANETA-LA ESTRELLA-SAN ANTONIO DE PRADO-LAS PALMAS|fixed|multiple_prices|ACAR-001|FSR/CHEVROLET/TGA353|154000
ZONA 3-SAN CRISTOBAL-CALDAS-GIRARDOTA|fixed|multiple_prices|ACAR-001|RE 205D/BAJAJ/540ACV|33000
ZONA 3-SAN CRISTOBAL-CALDAS-GIRARDOTA|fixed|multiple_prices|ACAR-001|RE 205D/BAJAJ/541ACV|33000
ZONA 3-SAN CRISTOBAL-CALDAS-GIRARDOTA|fixed|multiple_prices|ACAR-001|RE 4S(RE 205)/BAJAJ/985ACV|33000
ZONA 3-SAN CRISTOBAL-CALDAS-GIRARDOTA|fixed|multiple_prices|ACAR-001|RE 4S(RE 205)/BAJAJ/984ACV|33000
ZONA 3-SAN CRISTOBAL-CALDAS-GIRARDOTA|fixed|multiple_prices|ACAR-001|RE 4S(RE 205)/BAJAJ/206ADF|33000
ZONA 3-SAN CRISTOBAL-CALDAS-GIRARDOTA|fixed|multiple_prices|ACAR-001|TFR/CHEVROLET LUV/MNA126|44000
ZONA 3-SAN CRISTOBAL-CALDAS-GIRARDOTA|fixed|multiple_prices|ACAR-001|RN85/TOYOTA/TRB322|44000
ZONA 3-SAN CRISTOBAL-CALDAS-GIRARDOTA|fixed|multiple_prices|ACAR-001|HILUX/TOYOTA/MNP810|44000
ZONA 3-SAN CRISTOBAL-CALDAS-GIRARDOTA|fixed|multiple_prices|ACAR-001|DC4/CHEVROLET LUV/SNL271|44000
ZONA 3-SAN CRISTOBAL-CALDAS-GIRARDOTA|fixed|multiple_prices|ACAR-001|DC4/CHEVROLET LUV/SNL286|44000
ZONA 3-SAN CRISTOBAL-CALDAS-GIRARDOTA|fixed|multiple_prices|ACAR-001|NISSAN/NISSAN/KAZ161|44000
ZONA 3-SAN CRISTOBAL-CALDAS-GIRARDOTA|fixed|multiple_prices|ACAR-001|K3000S-KIA/TMI448|55000
ZONA 3-SAN CRISTOBAL-CALDAS-GIRARDOTA|fixed|multiple_prices|ACAR-001|K3000S-KIA/TMI436|55000
ZONA 3-SAN CRISTOBAL-CALDAS-GIRARDOTA|fixed|multiple_prices|ACAR-001|DELTA V126L-HUT/DAIHATSU/TRF639|79000
ZONA 3-SAN CRISTOBAL-CALDAS-GIRARDOTA|fixed|multiple_prices|ACAR-001|HD72/HYUNDAI/MNE317|95000
ZONA 3-SAN CRISTOBAL-CALDAS-GIRARDOTA|fixed|multiple_prices|ACAR-001|HD72/HYUNDAI/MNE620|95000
ZONA 3-SAN CRISTOBAL-CALDAS-GIRARDOTA|fixed|multiple_prices|ACAR-001|NPR/CHEVROLET/TMX272|95000
ZONA 3-SAN CRISTOBAL-CALDAS-GIRARDOTA|fixed|multiple_prices|ACAR-001|FSR/CHEVROLET/TGA353|154000
ZONA 4-BARBOSA-SANTA ELENA-PALMAS DEPUÉS DEL PEAJE|fixed|multiple_prices|ACAR-001|RE 205D/BAJAJ/540ACV|45000
ZONA 4-BARBOSA-SANTA ELENA-PALMAS DEPUÉS DEL PEAJE|fixed|multiple_prices|ACAR-001|RE 205D/BAJAJ/541ACV|45000
ZONA 4-BARBOSA-SANTA ELENA-PALMAS DEPUÉS DEL PEAJE|fixed|multiple_prices|ACAR-001|RE 4S(RE 205)/BAJAJ/985ACV|45000
ZONA 4-BARBOSA-SANTA ELENA-PALMAS DEPUÉS DEL PEAJE|fixed|multiple_prices|ACAR-001|RE 4S(RE 205)/BAJAJ/984ACV|45000
ZONA 4-BARBOSA-SANTA ELENA-PALMAS DEPUÉS DEL PEAJE|fixed|multiple_prices|ACAR-001|RE 4S(RE 205)/BAJAJ/206ADF|45000
ZONA 4-BARBOSA-SANTA ELENA-PALMAS DEPUÉS DEL PEAJE|fixed|multiple_prices|ACAR-001|TFR/CHEVROLET LUV/MNA126|55000
ZONA 4-BARBOSA-SANTA ELENA-PALMAS DEPUÉS DEL PEAJE|fixed|multiple_prices|ACAR-001|RN85/TOYOTA/TRB322|55000
ZONA 4-BARBOSA-SANTA ELENA-PALMAS DEPUÉS DEL PEAJE|fixed|multiple_prices|ACAR-001|HILUX/TOYOTA/MNP810|55000
ZONA 4-BARBOSA-SANTA ELENA-PALMAS DEPUÉS DEL PEAJE|fixed|multiple_prices|ACAR-001|DC4/CHEVROLET LUV/SNL271|55000
ZONA 4-BARBOSA-SANTA ELENA-PALMAS DEPUÉS DEL PEAJE|fixed|multiple_prices|ACAR-001|DC4/CHEVROLET LUV/SNL286|55000
ZONA 4-BARBOSA-SANTA ELENA-PALMAS DEPUÉS DEL PEAJE|fixed|multiple_prices|ACAR-001|NISSAN/NISSAN/KAZ161|55000
ZONA 4-BARBOSA-SANTA ELENA-PALMAS DEPUÉS DEL PEAJE|fixed|multiple_prices|ACAR-001|K3000S-KIA/TMI448|85000
ZONA 4-BARBOSA-SANTA ELENA-PALMAS DEPUÉS DEL PEAJE|fixed|multiple_prices|ACAR-001|K3000S-KIA/TMI436|85000
